factory_id,line_id,product_code,production_date,produced_qty,defect_qty,operator
F003,L1,PRD001,2024-05-24,940,7,김민수
F003,L3,PRD001,2024-05-19,1016,0,최유리
F001,L3,PRD001,2024-05-18,,,쵀유리
F002,L1,PRD004,2024-05-19,942,,김민쑤
F002,L2,PRD002,2024-05-07,없음,3,김민쑤
F001,L2,PRD003,2024-05-20,935,,김민수
F002,L1,PRD003,2024-05-27,,,최유리
F003,L1,PRD001,2024-05-22,없음,2,김민수
F002,L2,PRD004,2024-05-21,986,,최유리
F003,L2,PRD001,2024-05-20,1125,,최유리
F001,L2,PRD004,2024-05-09,,17,박지훜
F001,L1,PRD001,2024-05-26,없음,8,최유리
F003,L3,PRD003,2024-05-07,없음,,이즈우
F001,L2,PRD002,2024-05-08,,,정해인
F002,L3,PRD004,2024-05-12,912,,김민수
F001,L1,PRD002,2024-05-21,,,김민수
F002,L2,PRD004,2024-05-17,,,김민수
F003,L3,PRD003,2024-05-25,없음,,김민쑤
F001,L2,PRD001,2024-05-31,,,이지우
F003,L1,PRD003,2024-05-27,,19,이지우
F002,L1,PRD001,2024-05-20,없음,0,박지훜
F002,L1,PRD001,2024-05-08,1090,,이즈우
F001,L3,PRD002,2024-05-05,없음,17,정해인
F003,L3,PRD004,2024-05-31,,,정해인
F002,L3,PRD003,2024-05-15,없음,3,최유리
F001,L2,PRD001,2024-05-19,1083,18,박지훈
F001,L3,PRD001,2024-05-08,834,10,쵀유리
F001,L2,PRD004,2024-05-07,1076,,이즈우
F001,L2,PRD004,2024-05-07,848,,김민쑤
F002,L2,PRD001,2024-05-22,,3,김민쑤
F003,L2,PRD001,2024-05-08,898,,이지우
F002,L1,PRD003,2024-05-15,927,,김민수
F001,L3,PRD001,2024-05-03,1185,,이즈우
F002,L1,PRD004,2024-05-29,830,12,김민쑤
F002,L2,PRD003,2024-05-14,,,이즈우
F001,L1,PRD003,2024-05-07,,17,박지훜
F001,L1,PRD004,2024-05-17,1071,,김민수
F001,L1,PRD001,2024-05-22,없음,,최유리
F003,L3,PRD001,2024-05-20,없음,,쵀유리
F002,L2,PRD002,2024-05-22,없음,,김민쑤
F001,L3,PRD003,2024-05-15,961,,정해인
F003,L1,PRD001,2024-05-18,,8,박지훜
F001,L1,PRD003,2024-05-10,없음,,정해인
F003,L3,PRD001,2024-05-22,없음,3,정해인
F001,L1,PRD002,2024-05-09,,,박지훜
F001,L3,PRD003,2024-05-17,없음,1,김민쑤
F002,L1,PRD001,2024-05-11,1194,,이지우
F003,L2,PRD004,2024-05-18,804,,이지우
F003,L1,PRD003,2024-05-19,1082,13,박지훈
F002,L2,PRD001,2024-05-29,983,,김민수
F002,L3,PRD004,2024-05-20,1183,7,이지우
F002,L1,PRD002,2024-05-24,없음,,이지우
F003,L1,PRD004,2024-05-28,없음,7,이즈우
F002,L2,PRD002,2024-05-08,,,박지훜
F002,L1,PRD003,2024-05-12,,,쵀유리
F002,L1,PRD001,2024-05-29,933,,박지훈
F001,L3,PRD004,2024-05-12,없음,,쵀유리
F001,L2,PRD002,2024-05-09,,13,쵀유리
F003,L3,PRD002,2024-05-12,1020,,박지훜
F003,L1,PRD003,2024-05-17,,,김민쑤
F003,L2,PRD002,2024-05-07,,,이지우
F003,L3,PRD003,2024-05-13,1080,,최유리
F002,L3,PRD003,2024-05-15,없음,,이즈우
F003,L1,PRD001,2024-05-10,,,박지훜
F001,L1,PRD003,2024-05-08,901,0,최유리
F002,L3,PRD001,2024-05-15,,18,김민쑤
F002,L2,PRD002,2024-05-05,,0,김민쑤
F001,L1,PRD004,2024-05-02,1085,,이지우
F002,L3,PRD003,2024-05-31,없음,,쵀유리
F002,L3,PRD004,2024-05-29,,,정해인
F001,L3,PRD003,2024-05-25,,,최유리
F002,L2,PRD001,2024-05-23,946,,박지훜
F003,L1,PRD002,2024-05-05,없음,,최유리
F001,L2,PRD004,2024-05-11,없음,13,최유리
F002,L2,PRD001,2024-05-28,,,박지훈
F002,L2,PRD004,2024-05-28,,,최유리
F002,L1,PRD003,2024-05-14,1048,,김민쑤
F003,L1,PRD004,2024-05-30,,17,김민쑤
F003,L3,PRD001,2024-05-03,없음,,이지우
F001,L2,PRD004,2024-05-11,없음,,김민쑤
F002,L2,PRD003,2024-05-27,없음,,쵀유리
F001,L2,PRD002,2024-05-21,,1,최유리
F001,L1,PRD002,2024-05-08,없음,,최유리
F002,L3,PRD003,2024-05-25,988,,김민수
F001,L2,PRD001,2024-05-19,없음,,김민쑤
F002,L3,PRD002,2024-05-03,,20,김민수
F003,L2,PRD001,2024-05-26,1089,,김민쑤
F003,L2,PRD001,2024-05-17,없음,,이즈우
F001,L2,PRD003,2024-05-21,,,이지우
F003,L3,PRD003,2024-05-20,없음,,정해인
F002,L2,PRD002,2024-05-27,없음,14,이즈우
F003,L3,PRD004,2024-05-11,없음,10,이즈우
F001,L2,PRD003,2024-05-11,,,박지훈
F003,L1,PRD001,2024-05-08,없음,,최유리
F003,L2,PRD004,2024-05-15,808,9,김민쑤
F003,L1,PRD003,2024-05-22,없음,,쵀유리
F002,L2,PRD003,2024-05-12,없음,,정해인
F001,L1,PRD002,2024-05-11,,,이지우
F001,L1,PRD004,2024-05-09,,,정해인
F001,L1,PRD003,2024-05-08,984,9,쵀유리
F001,L2,PRD001,2024-05-02,없음,,이즈우
F001,L1,PRD003,2024-05-16,없음,10,박지훈
F002,L2,PRD001,2024-05-27,없음,15,정해인
F003,L3,PRD001,2024-05-05,,9,최유리
F001,L3,PRD004,2024-05-20,,,김민쑤
F002,L2,PRD003,2024-05-28,없음,,정해인
F001,L3,PRD001,2024-05-31,1190,20,정해인
F003,L1,PRD002,2024-05-08,,2,박지훈
F002,L2,PRD004,2024-05-10,816,,정해인
F003,L2,PRD001,2024-05-22,없음,,최유리
F002,L1,PRD002,2024-05-21,없음,4,박지훈
F001,L2,PRD003,2024-05-15,없음,,김민쑤
F002,L3,PRD004,2024-05-15,,,박지훜
F003,L2,PRD001,2024-05-03,,,박지훈
F003,L2,PRD001,2024-05-25,1187,,이즈우
F002,L1,PRD004,2024-05-21,1051,,김민쑤
F002,L2,PRD001,2024-05-28,없음,,이즈우
F002,L3,PRD004,2024-05-27,,,김민수
F002,L2,PRD003,2024-05-04,없음,16,쵀유리
F002,L2,PRD001,2024-05-07,없음,,이즈우
F001,L1,PRD003,2024-05-18,없음,,이즈우
F001,L1,PRD002,2024-05-23,없음,17,쵀유리
F002,L1,PRD002,2024-05-27,없음,,이지우
F002,L3,PRD003,2024-05-17,없음,,이즈우
F001,L2,PRD002,2024-05-13,,,이지우
F001,L2,PRD004,2024-05-11,없음,,정해인
F003,L3,PRD004,2024-05-28,없음,,박지훜
F002,L3,PRD004,2024-05-15,964,,김민쑤
F001,L2,PRD001,2024-05-11,없음,,이지우
F002,L1,PRD002,2024-05-17,없음,,김민수
F003,L2,PRD001,2024-05-24,없음,20,김민수
F002,L2,PRD003,2024-05-20,없음,20,박지훜
F003,L3,PRD004,2024-05-31,,,박지훈
F003,L1,PRD002,2024-05-21,없음,,김민수
F002,L1,PRD001,2024-05-15,,9,박지훈
F002,L1,PRD003,2024-05-12,없음,4,쵀유리
F002,L3,PRD002,2024-05-06,889,,정해인
F003,L1,PRD004,2024-05-30,1098,,정해인
F002,L2,PRD001,2024-05-29,없음,17,김민수
F002,L2,PRD003,2024-05-21,,,정해인
F001,L2,PRD004,2024-05-04,없음,,정해인
F002,L3,PRD003,2024-05-01,없음,8,정해인
F003,L3,PRD001,2024-05-30,,,최유리
F003,L2,PRD002,2024-05-21,,,이지우
F003,L1,PRD001,2024-05-10,1025,,이지우
F001,L2,PRD003,2024-05-24,1012,6,쵀유리
F002,L3,PRD003,2024-05-27,없음,,박지훜
F001,L2,PRD001,2024-05-05,1186,,박지훜
F001,L2,PRD001,2024-05-09,1074,,정해인
F003,L2,PRD003,2024-05-04,1145,15,정해인
F003,L2,PRD002,2024-05-21,,,정해인
F003,L2,PRD001,2024-05-05,823,,김민수
F001,L1,PRD002,2024-05-13,없음,,정해인
F003,L3,PRD002,2024-05-29,,,정해인
F002,L2,PRD001,2024-05-23,989,,최유리
F002,L1,PRD003,2024-05-18,없음,,정해인
F001,L1,PRD004,2024-05-03,1139,,정해인
F001,L1,PRD003,2024-05-08,,6,쵀유리
F001,L3,PRD002,2024-05-27,없음,,박지훈
F002,L1,PRD002,2024-05-18,928,,박지훈
F001,L1,PRD003,2024-05-26,,10,이지우
F002,L1,PRD002,2024-05-24,,,김민수
F002,L2,PRD003,2024-05-17,1103,,최유리
F003,L1,PRD003,2024-05-15,1129,,김민쑤
F002,L3,PRD001,2024-05-16,없음,2,박지훜
F003,L1,PRD001,2024-05-05,,,쵀유리
F003,L2,PRD004,2024-05-20,없음,,정해인
F002,L1,PRD001,2024-05-28,,,최유리
F002,L2,PRD002,2024-05-14,없음,,김민수
F002,L2,PRD003,2024-05-22,없음,,이즈우
F001,L1,PRD001,2024-05-03,1021,11,쵀유리
F001,L3,PRD003,2024-05-22,없음,,김민쑤
F003,L1,PRD003,2024-05-20,없음,,쵀유리
F001,L1,PRD004,2024-05-08,없음,,김민수
F002,L3,PRD002,2024-05-26,,,쵀유리
F001,L3,PRD003,2024-05-01,없음,,박지훜
F001,L1,PRD002,2024-05-19,없음,2,박지훈
F001,L3,PRD002,2024-05-13,없음,10,박지훜
F002,L3,PRD003,2024-05-25,,2,이지우
F001,L3,PRD001,2024-05-22,없음,,김민쑤
F002,L3,PRD004,2024-05-14,939,16,박지훜
F002,L1,PRD003,2024-05-22,,,정해인
F001,L1,PRD004,2024-05-20,828,,최유리
F001,L2,PRD003,2024-05-11,861,,김민쑤
F001,L1,PRD004,2024-05-18,1160,,박지훜
F001,L2,PRD001,2024-05-14,없음,,정해인
F002,L3,PRD004,2024-05-23,없음,9,김민쑤
F001,L2,PRD002,2024-05-26,없음,11,김민쑤
F001,L1,PRD004,2024-05-19,,,정해인
F003,L2,PRD002,2024-05-11,1198,,김민수
F003,L3,PRD002,2024-05-29,없음,,이지우
F001,L1,PRD002,2024-05-09,901,19,김민수
F001,L3,PRD004,2024-05-15,,,정해인
F003,L3,PRD003,2024-05-28,없음,,김민수
F002,L2,PRD003,2024-05-26,,,쵀유리
F001,L2,PRD004,2024-05-15,819,,김민수
F003,L1,PRD004,2024-05-15,,,정해인
F003,L1,PRD003,2024-05-20,,4,이즈우
F001,L2,PRD001,2024-05-17,1130,1,이즈우
F002,L3,PRD002,2024-05-12,없음,,박지훜
F003,L3,PRD001,2024-05-26,,10,박지훜
F001,L3,PRD004,2024-05-10,,19,박지훜
F001,L3,PRD002,2024-05-30,없음,,김민쑤
F001,L3,PRD001,2024-05-10,없음,,이지우
F003,L3,PRD001,2024-05-21,없음,,박지훈
F002,L2,PRD002,2024-05-31,없음,15,최유리
F001,L1,PRD001,2024-05-10,,,쵀유리
F001,L3,PRD003,2024-05-29,,,김민쑤
F001,L1,PRD002,2024-05-27,,,이즈우
F001,L2,PRD003,2024-05-22,1168,,정해인
F003,L2,PRD002,2024-05-18,없음,15,박지훜
F003,L3,PRD004,2024-05-15,없음,,쵀유리
F002,L1,PRD002,2024-05-26,1109,8,이즈우
F002,L3,PRD001,2024-05-23,1064,9,이지우
F002,L2,PRD002,2024-05-27,1023,,박지훜
F001,L2,PRD001,2024-05-13,없음,,김민수
F002,L1,PRD001,2024-05-11,,,이지우
F001,L1,PRD003,2024-05-30,,,이즈우
F002,L3,PRD001,2024-05-29,840,8,이지우
F003,L3,PRD004,2024-05-04,없음,,김민수
F001,L1,PRD004,2024-05-21,없음,2,이즈우
F003,L3,PRD001,2024-05-21,,,이지우
F002,L2,PRD001,2024-05-20,980,,이지우
F003,L3,PRD001,2024-05-17,984,,쵀유리
F003,L3,PRD001,2024-05-13,1040,,박지훜
F002,L3,PRD001,2024-05-12,없음,,김민수
F003,L3,PRD003,2024-05-05,없음,,이지우
F003,L2,PRD004,2024-05-21,893,,이즈우
F001,L2,PRD002,2024-05-02,902,,쵀유리
F002,L3,PRD004,2024-05-09,,,박지훜
F001,L3,PRD003,2024-05-09,없음,,이즈우
F002,L2,PRD002,2024-05-16,없음,,정해인
F001,L3,PRD004,2024-05-03,,,정해인
F002,L1,PRD001,2024-05-11,없음,,정해인
F003,L2,PRD002,2024-05-23,없음,14,박지훜
F003,L2,PRD003,2024-05-21,829,,박지훜
F003,L3,PRD002,2024-05-31,815,,이즈우
F001,L1,PRD001,2024-05-08,,,김민쑤
F003,L1,PRD002,2024-05-22,없음,,김민수
F003,L1,PRD003,2024-05-13,,8,김민수
F001,L3,PRD002,2024-05-16,없음,17,정해인
F002,L3,PRD004,2024-05-07,없음,15,김민수
F001,L1,PRD004,2024-05-06,없음,,박지훜
F003,L2,PRD001,2024-05-18,없음,9,이지우
F002,L3,PRD002,2024-05-04,902,,박지훈
F002,L3,PRD003,2024-05-15,1082,19,김민수
F002,L2,PRD004,2024-05-17,없음,18,이지우
F002,L3,PRD001,2024-05-15,,,이지우
F003,L3,PRD002,2024-05-25,없음,16,김민수
F003,L1,PRD003,2024-05-06,없음,,쵀유리
F002,L1,PRD003,2024-05-07,,8,정해인
F003,L3,PRD001,2024-05-17,1128,,이지우
F001,L3,PRD003,2024-05-27,1088,0,박지훈
F003,L3,PRD003,2024-05-21,,,박지훈
F002,L3,PRD003,2024-05-21,없음,,김민쑤
F002,L2,PRD001,2024-05-23,830,,이즈우
F002,L1,PRD003,2024-05-20,없음,,박지훜
F002,L1,PRD003,2024-05-17,1087,10,이즈우
F001,L2,PRD004,2024-05-08,872,,김민쑤
F003,L2,PRD002,2024-05-31,없음,,박지훜
F001,L1,PRD004,2024-05-17,없음,,박지훈
F001,L2,PRD004,2024-05-31,923,,박지훈
F001,L2,PRD004,2024-05-20,,,쵀유리
F001,L1,PRD004,2024-05-05,,,박지훜
F001,L2,PRD001,2024-05-19,1087,,정해인
F001,L2,PRD004,2024-05-25,없음,,정해인
F001,L1,PRD001,2024-05-13,없음,,이지우
F001,L3,PRD004,2024-05-17,820,1,박지훜
F002,L3,PRD004,2024-05-05,,,정해인
F002,L1,PRD004,2024-05-20,없음,,쵀유리
F003,L3,PRD004,2024-05-23,없음,15,박지훜
F002,L3,PRD001,2024-05-14,없음,20,정해인
F002,L2,PRD002,2024-05-24,,15,쵀유리
F003,L3,PRD004,2024-05-05,1148,,김민수
F001,L1,PRD004,2024-05-11,1014,,최유리
F002,L3,PRD004,2024-05-28,,,이지우
F003,L1,PRD003,2024-05-22,,,이지우
F002,L3,PRD003,2024-05-18,,,정해인
F003,L2,PRD002,2024-05-31,없음,,최유리
F002,L2,PRD002,2024-05-23,없음,,박지훜
F003,L3,PRD003,2024-05-10,,,김민쑤
F002,L1,PRD003,2024-05-02,,,이즈우
F003,L2,PRD004,2024-05-07,,,정해인
F001,L1,PRD002,2024-05-08,,16,최유리
F001,L1,PRD004,2024-05-11,없음,,이지우
F001,L3,PRD002,2024-05-14,없음,,최유리
F002,L2,PRD003,2024-05-21,830,,최유리
F003,L3,PRD001,2024-05-30,없음,5,김민쑤
F002,L1,PRD003,2024-05-29,819,,정해인
F001,L2,PRD003,2024-05-15,,,이지우
F003,L2,PRD003,2024-05-07,없음,,이즈우
F003,L2,PRD002,2024-05-01,없음,,최유리
F001,L3,PRD004,2024-05-27,,10,김민쑤
F003,L1,PRD002,2024-05-05,없음,7,정해인
F002,L1,PRD004,2024-05-25,없음,,정해인
F001,L2,PRD003,2024-05-23,920,,정해인
F001,L2,PRD003,2024-05-23,,,정해인
F001,L1,PRD002,2024-05-16,없음,,김민쑤
F003,L3,PRD004,2024-05-25,,6,정해인
F001,L3,PRD004,2024-05-17,없음,,김민수
F001,L3,PRD002,2024-05-19,1074,,쵀유리
F002,L1,PRD002,2024-05-23,없음,,이즈우
F001,L2,PRD002,2024-05-17,없음,18,쵀유리
F002,L3,PRD003,2024-05-24,없음,8,최유리
F003,L1,PRD001,2024-05-14,,,박지훈
F001,L2,PRD001,2024-05-10,1009,,김민쑤
F002,L2,PRD004,2024-05-28,없음,,쵀유리
F001,L3,PRD003,2024-05-04,,,이지우
F003,L1,PRD001,2024-05-25,없음,,쵀유리
F002,L3,PRD004,2024-05-27,917,,이지우
F002,L1,PRD001,2024-05-02,없음,19,최유리
F001,L1,PRD001,2024-05-20,없음,,박지훈
F001,L3,PRD001,2024-05-13,1024,17,박지훈
F001,L3,PRD003,2024-05-08,,,정해인
F003,L2,PRD002,2024-05-10,,16,김민쑤
F002,L2,PRD001,2024-05-18,,,김민쑤
F003,L2,PRD001,2024-05-12,,,박지훜
F003,L2,PRD004,2024-05-05,없음,,이즈우
F001,L1,PRD003,2024-05-28,1162,14,쵀유리
F002,L2,PRD002,2024-05-13,없음,,김민수
F002,L2,PRD001,2024-05-18,1170,,김민쑤
F003,L3,PRD001,2024-05-28,837,,쵀유리
F001,L2,PRD002,2024-05-28,없음,0,최유리
F003,L1,PRD004,2024-05-30,,,최유리
F002,L1,PRD003,2024-05-25,없음,,박지훜
F002,L2,PRD003,2024-05-17,없음,,이즈우
F002,L1,PRD003,2024-05-11,1011,18,이지우
F001,L2,PRD004,2024-05-10,878,10,김민쑤
F003,L1,PRD004,2024-05-18,,,이즈우
F003,L3,PRD004,2024-05-15,,11,이지우
F003,L3,PRD004,2024-05-06,,,박지훈
F001,L3,PRD001,2024-05-25,없음,,최유리
F001,L3,PRD002,2024-05-01,,,박지훈
F003,L3,PRD004,2024-05-22,1049,,쵀유리
F002,L1,PRD001,2024-05-17,없음,,박지훈
F003,L3,PRD004,2024-05-26,891,,이지우
F001,L1,PRD003,2024-05-27,없음,12,박지훜
F002,L2,PRD002,2024-05-23,없음,,박지훈
F001,L2,PRD004,2024-05-13,없음,,박지훈
F003,L1,PRD001,2024-05-16,,,김민수
F003,L1,PRD002,2024-05-07,,,박지훈
F001,L3,PRD003,2024-05-29,,1,박지훜
F001,L1,PRD002,2024-05-25,없음,,이지우
F003,L1,PRD004,2024-05-22,없음,,이지우
F003,L3,PRD001,2024-05-17,없음,1,김민쑤
F001,L1,PRD003,2024-05-20,,,박지훜
F001,L3,PRD003,2024-05-26,없음,,쵀유리
F002,L2,PRD002,2024-05-22,,12,정해인
F002,L1,PRD001,2024-05-03,937,,이지우
F003,L2,PRD003,2024-05-12,854,,이즈우
F002,L2,PRD001,2024-05-05,844,,쵀유리
F003,L3,PRD004,2024-05-04,813,,김민수
F003,L3,PRD003,2024-05-28,997,,김민쑤
F001,L3,PRD002,2024-05-19,1066,12,이지우
F002,L2,PRD003,2024-05-16,874,,정해인
F002,L2,PRD004,2024-05-26,없음,8,이즈우
F003,L3,PRD002,2024-05-15,854,9,김민쑤
F002,L3,PRD004,2024-05-26,없음,,정해인
F001,L2,PRD003,2024-05-20,1155,,이지우
F002,L2,PRD003,2024-05-24,,,최유리
F002,L2,PRD003,2024-05-27,없음,,최유리
F003,L3,PRD002,2024-05-22,,,이즈우
F003,L1,PRD004,2024-05-26,,,이즈우
F001,L3,PRD003,2024-05-08,,,김민쑤
F002,L1,PRD004,2024-05-20,,,쵀유리
F003,L2,PRD001,2024-05-26,,,김민수
F001,L1,PRD003,2024-05-06,,,김민쑤
F002,L2,PRD001,2024-05-01,없음,,쵀유리
F003,L3,PRD002,2024-05-15,없음,,정해인
F003,L3,PRD002,2024-05-12,없음,,김민쑤
F001,L1,PRD002,2024-05-12,없음,14,쵀유리
F002,L2,PRD004,2024-05-04,,,김민수
F002,L1,PRD001,2024-05-01,,,이지우
F003,L1,PRD002,2024-05-18,없음,,이즈우
F001,L2,PRD002,2024-05-06,,,박지훈
F003,L3,PRD002,2024-05-15,없음,12,최유리
F001,L2,PRD001,2024-05-19,,,박지훜
F001,L2,PRD001,2024-05-09,없음,,박지훜
F003,L2,PRD004,2024-05-19,없음,,정해인
F001,L3,PRD003,2024-05-30,,,이지우
F002,L1,PRD002,2024-05-10,859,,이지우
F003,L2,PRD004,2024-05-20,,,이지우
F002,L3,PRD002,2024-05-18,없음,9,이지우
